# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'task-clock'
# Event count (approx.): 15683415125
#
# Overhead  Command  Shared Object                           Symbol                                       
# ........  .......  ......................................  .............................................
#
     0.10%  conda    python3.11                              [.] 0x00000000000ee9ea
     0.10%  python   [kernel.kallsyms]                       [k] blk_cgroup_congested
     0.10%  python   [kernel.kallsyms]                       [k] do_syscall_64
     0.10%  python   [kernel.kallsyms]                       [k] inode_permission
     0.10%  python   [kernel.kallsyms]                       [k] ovl_i_path_real
     0.10%  python   libc.so.6                               [.] __memmove_avx512_unaligned_erms
     0.10%  python   libc.so.6                               [.] __memmove_chk_avx512_unaligned_erms
     0.10%  python   libc.so.6                               [.] __strncmp_evex
     0.10%  python   libc.so.6                               [.] 0x00000000001a704d
     0.10%  python   python3.9                               [.] 0x00000000000d2a90
     0.10%  python   python3.9                               [.] 0x00000000000d5103
     0.10%  python   python3.9                               [.] 0x00000000000d5cee
     0.10%  python   python3.9                               [.] 0x00000000000d5d0c
     0.10%  python   python3.9                               [.] 0x00000000000d5d0f
     0.10%  python   python3.9                               [.] 0x00000000000d6a74
     0.10%  python   python3.9                               [.] 0x00000000000d8978
     0.10%  python   python3.9                               [.] 0x00000000000dac00
     0.10%  python   python3.9                               [.] 0x00000000000dbf6c
     0.10%  python   python3.9                               [.] 0x00000000000dc5d3
     0.10%  python   python3.9                               [.] 0x00000000000dc7b6
     0.10%  python   python3.9                               [.] 0x00000000000dcbb5
     0.10%  python   python3.9                               [.] 0x00000000000ddaab
     0.10%  python   python3.9                               [.] 0x00000000000e7021
     0.10%  python   python3.9                               [.] 0x00000000000e795f
     0.10%  python   python3.9                               [.] 0x00000000000e79d3
     0.10%  python   python3.9                               [.] 0x00000000000e79e0
     0.10%  python   python3.9                               [.] 0x00000000000e79f7
     0.10%  python   python3.9                               [.] 0x00000000000e7a2d
     0.10%  python   python3.9                               [.] 0x00000000000e7b36
     0.10%  python   python3.9                               [.] 0x00000000000e7b52
     0.10%  python   python3.9                               [.] 0x00000000000e7bc9
     0.10%  python   python3.9                               [.] 0x00000000000e7c6d
     0.10%  python   python3.9                               [.] 0x00000000000e7cf3
     0.10%  python   python3.9                               [.] 0x00000000000e7d91
     0.10%  python   python3.9                               [.] 0x00000000000e7e53
     0.10%  python   python3.9                               [.] 0x00000000000e7e5d
     0.10%  python   python3.9                               [.] 0x00000000000e7ec2
     0.10%  python   python3.9                               [.] 0x00000000000e7f90
     0.10%  python   python3.9                               [.] 0x00000000000e7fb1
     0.10%  python   python3.9                               [.] 0x00000000000e8185
     0.10%  python   python3.9                               [.] 0x00000000000e818d
     0.10%  python   python3.9                               [.] 0x00000000000e83bd
     0.10%  python   python3.9                               [.] 0x00000000000e88bb
     0.10%  python   python3.9                               [.] 0x00000000000e8f2e
     0.10%  python   python3.9                               [.] 0x00000000000e9113
     0.10%  python   python3.9                               [.] 0x00000000000e9473
     0.10%  python   python3.9                               [.] 0x00000000000ec2b0
     0.10%  python   python3.9                               [.] 0x00000000000eec8d
     0.10%  python   python3.9                               [.] 0x00000000000ef7da
     0.10%  python   python3.9                               [.] 0x00000000000ef911
     0.10%  python   python3.9                               [.] 0x00000000000ef93d
     0.10%  python   python3.9                               [.] 0x00000000000f0330
     0.10%  python   python3.9                               [.] 0x00000000000f055b
     0.10%  python   python3.9                               [.] 0x00000000000f3391
     0.10%  python   python3.9                               [.] 0x00000000000f36b3
     0.10%  python   python3.9                               [.] 0x00000000000f4fe5
     0.10%  python   python3.9                               [.] 0x00000000000f53e1
     0.10%  python   python3.9                               [.] 0x00000000000f644e
     0.10%  python   python3.9                               [.] 0x00000000000f64c1
     0.10%  python   python3.9                               [.] 0x00000000000f6576
     0.10%  python   python3.9                               [.] 0x00000000000f841c
     0.10%  python   python3.9                               [.] 0x00000000000f8792
     0.10%  python   python3.9                               [.] 0x00000000000f9042
     0.10%  python   python3.9                               [.] 0x00000000000f9070
     0.10%  python   python3.9                               [.] 0x00000000000f9077
     0.10%  python   python3.9                               [.] 0x00000000000f9108
     0.10%  python   python3.9                               [.] 0x00000000000fca05
     0.10%  python   python3.9                               [.] 0x0000000000102ac2
     0.10%  python   python3.9                               [.] 0x0000000000102ac9
     0.10%  python   python3.9                               [.] 0x000000000010345a
     0.10%  python   python3.9                               [.] 0x00000000001037c2
     0.10%  python   python3.9                               [.] 0x00000000001037e2
     0.10%  python   python3.9                               [.] 0x00000000001037e7
     0.10%  python   python3.9                               [.] 0x0000000000114130
     0.10%  python   python3.9                               [.] 0x0000000000120360
     0.10%  python   python3.9                               [.] 0x0000000000144ba3
     0.10%  python   python3.9                               [.] 0x000000000016194d
     0.10%  python   python3.9                               [.] 0x0000000000172e1e
     0.10%  python   python3.9                               [.] 0x0000000000172e3f
     0.06%  conda    [kernel.kallsyms]                       [k] __handle_mm_fault
     0.06%  conda    [kernel.kallsyms]                       [k] do_user_addr_fault
     0.06%  conda    libc.so.6                               [.] _int_malloc
     0.06%  conda    python3.11                              [.] 0x00000000000ed3b8
     0.06%  conda    python3.11                              [.] 0x00000000000ee9e1
     0.06%  conda    python3.11                              [.] 0x0000000000109598
     0.06%  conda    python3.11                              [.] 0x000000000010ee97
     0.06%  conda    python3.11                              [.] 0x00000000001230c3
     0.06%  git      git                                     [.] 0x000000000028d185
     0.06%  python   [kernel.kallsyms]                       [k] __pte_offset_map_lock
     0.06%  python   [kernel.kallsyms]                       [k] _copy_to_iter
     0.06%  python   [kernel.kallsyms]                       [k] _raw_spin_trylock
     0.06%  python   [kernel.kallsyms]                       [k] do_wp_page
     0.06%  python   [kernel.kallsyms]                       [k] filldir64
     0.06%  python   [kernel.kallsyms]                       [k] zap_pte_range
     0.06%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000002500
     0.06%  python   _random.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000025ac
     0.06%  python   libc.so.6                               [.] __strcat_evex
     0.06%  python   libc.so.6                               [.] __strncat_evex
     0.06%  python   libcrypto.so.3                          [.] 0x00000000002018f6
     0.06%  python   python3.9                               [.] 0x00000000000d2aff
     0.06%  python   python3.9                               [.] 0x00000000000d2e25
     0.06%  python   python3.9                               [.] 0x00000000000d2f87
     0.06%  python   python3.9                               [.] 0x00000000000d4c00
     0.06%  python   python3.9                               [.] 0x00000000000d4ded
     0.06%  python   python3.9                               [.] 0x00000000000d4e13
     0.06%  python   python3.9                               [.] 0x00000000000d58f8
     0.06%  python   python3.9                               [.] 0x00000000000d5c80
     0.06%  python   python3.9                               [.] 0x00000000000d5c92
     0.06%  python   python3.9                               [.] 0x00000000000d5cb4
     0.06%  python   python3.9                               [.] 0x00000000000d5cf4
     0.06%  python   python3.9                               [.] 0x00000000000d5d08
     0.06%  python   python3.9                               [.] 0x00000000000d5d28
     0.06%  python   python3.9                               [.] 0x00000000000d5d59
     0.06%  python   python3.9                               [.] 0x00000000000d5f0b
     0.06%  python   python3.9                               [.] 0x00000000000d661c
     0.06%  python   python3.9                               [.] 0x00000000000d6a20
     0.06%  python   python3.9                               [.] 0x00000000000d8909
     0.06%  python   python3.9                               [.] 0x00000000000d894e
     0.06%  python   python3.9                               [.] 0x00000000000d8983
     0.06%  python   python3.9                               [.] 0x00000000000d8dcd
     0.06%  python   python3.9                               [.] 0x00000000000d9cfc
     0.06%  python   python3.9                               [.] 0x00000000000d9d58
     0.06%  python   python3.9                               [.] 0x00000000000d9d67
     0.06%  python   python3.9                               [.] 0x00000000000d9dbe
     0.06%  python   python3.9                               [.] 0x00000000000da5f4
     0.06%  python   python3.9                               [.] 0x00000000000dad07
     0.06%  python   python3.9                               [.] 0x00000000000db290
     0.06%  python   python3.9                               [.] 0x00000000000db758
     0.06%  python   python3.9                               [.] 0x00000000000dcd5b
     0.06%  python   python3.9                               [.] 0x00000000000dd163
     0.06%  python   python3.9                               [.] 0x00000000000df683
     0.06%  python   python3.9                               [.] 0x00000000000e00b0
     0.06%  python   python3.9                               [.] 0x00000000000e00b4
     0.06%  python   python3.9                               [.] 0x00000000000e0149
     0.06%  python   python3.9                               [.] 0x00000000000e328d
     0.06%  python   python3.9                               [.] 0x00000000000e3f10
     0.06%  python   python3.9                               [.] 0x00000000000e3fdc
     0.06%  python   python3.9                               [.] 0x00000000000e44e3
     0.06%  python   python3.9                               [.] 0x00000000000e65e0
     0.06%  python   python3.9                               [.] 0x00000000000e6685
     0.06%  python   python3.9                               [.] 0x00000000000e6afd
     0.06%  python   python3.9                               [.] 0x00000000000e786a
     0.06%  python   python3.9                               [.] 0x00000000000e78a0
     0.06%  python   python3.9                               [.] 0x00000000000e78db
     0.06%  python   python3.9                               [.] 0x00000000000e7903
     0.06%  python   python3.9                               [.] 0x00000000000e793e
     0.06%  python   python3.9                               [.] 0x00000000000e79b9
     0.06%  python   python3.9                               [.] 0x00000000000e79c3
     0.06%  python   python3.9                               [.] 0x00000000000e7a67
     0.06%  python   python3.9                               [.] 0x00000000000e7a96
     0.06%  python   python3.9                               [.] 0x00000000000e7aef
     0.06%  python   python3.9                               [.] 0x00000000000e7afb
     0.06%  python   python3.9                               [.] 0x00000000000e7b22
     0.06%  python   python3.9                               [.] 0x00000000000e7b44
     0.06%  python   python3.9                               [.] 0x00000000000e7b7f
     0.06%  python   python3.9                               [.] 0x00000000000e7ba1
     0.06%  python   python3.9                               [.] 0x00000000000e7c00
     0.06%  python   python3.9                               [.] 0x00000000000e7c3d
     0.06%  python   python3.9                               [.] 0x00000000000e7c62
     0.06%  python   python3.9                               [.] 0x00000000000e7c83
     0.06%  python   python3.9                               [.] 0x00000000000e7cca
     0.06%  python   python3.9                               [.] 0x00000000000e7cec
     0.06%  python   python3.9                               [.] 0x00000000000e7d1a
     0.06%  python   python3.9                               [.] 0x00000000000e7d1f
     0.06%  python   python3.9                               [.] 0x00000000000e7d9d
     0.06%  python   python3.9                               [.] 0x00000000000e7da9
     0.06%  python   python3.9                               [.] 0x00000000000e7e28
     0.06%  python   python3.9                               [.] 0x00000000000e7e58
     0.06%  python   python3.9                               [.] 0x00000000000e7f8b
     0.06%  python   python3.9                               [.] 0x00000000000e7fab
     0.06%  python   python3.9                               [.] 0x00000000000e7ffb
     0.06%  python   python3.9                               [.] 0x00000000000e8012
     0.06%  python   python3.9                               [.] 0x00000000000e8070
     0.06%  python   python3.9                               [.] 0x00000000000e8136
     0.06%  python   python3.9                               [.] 0x00000000000e8189
     0.06%  python   python3.9                               [.] 0x00000000000e8208
     0.06%  python   python3.9                               [.] 0x00000000000e820d
     0.06%  python   python3.9                               [.] 0x00000000000e8297
     0.06%  python   python3.9                               [.] 0x00000000000e82a4
     0.06%  python   python3.9                               [.] 0x00000000000e82e3
     0.06%  python   python3.9                               [.] 0x00000000000e8309
     0.06%  python   python3.9                               [.] 0x00000000000e8402
     0.06%  python   python3.9                               [.] 0x00000000000e84ff
     0.06%  python   python3.9                               [.] 0x00000000000e8508
     0.06%  python   python3.9                               [.] 0x00000000000e897c
     0.06%  python   python3.9                               [.] 0x00000000000e911c
     0.06%  python   python3.9                               [.] 0x00000000000eb76d
     0.06%  python   python3.9                               [.] 0x00000000000eb7f0
     0.06%  python   python3.9                               [.] 0x00000000000ec338
     0.06%  python   python3.9                               [.] 0x00000000000ec44e
     0.06%  python   python3.9                               [.] 0x00000000000ec7e3
     0.06%  python   python3.9                               [.] 0x00000000000eebdb
     0.06%  python   python3.9                               [.] 0x00000000000eede8
     0.06%  python   python3.9                               [.] 0x00000000000ef718
     0.06%  python   python3.9                               [.] 0x00000000000ef867
     0.06%  python   python3.9                               [.] 0x00000000000f0121
     0.06%  python   python3.9                               [.] 0x00000000000f018c
     0.06%  python   python3.9                               [.] 0x00000000000f01f4
     0.06%  python   python3.9                               [.] 0x00000000000f024b
     0.06%  python   python3.9                               [.] 0x00000000000f0443
     0.06%  python   python3.9                               [.] 0x00000000000f0467
     0.06%  python   python3.9                               [.] 0x00000000000f257f
     0.06%  python   python3.9                               [.] 0x00000000000f3362
     0.06%  python   python3.9                               [.] 0x00000000000f33e7
     0.06%  python   python3.9                               [.] 0x00000000000f34da
     0.06%  python   python3.9                               [.] 0x00000000000f34e1
     0.06%  python   python3.9                               [.] 0x00000000000f36ba
     0.06%  python   python3.9                               [.] 0x00000000000f4355
     0.06%  python   python3.9                               [.] 0x00000000000f43c9
     0.06%  python   python3.9                               [.] 0x00000000000f43eb
     0.06%  python   python3.9                               [.] 0x00000000000f4fd0
     0.06%  python   python3.9                               [.] 0x00000000000f5003
     0.06%  python   python3.9                               [.] 0x00000000000f5007
     0.06%  python   python3.9                               [.] 0x00000000000f5034
     0.06%  python   python3.9                               [.] 0x00000000000f5092
     0.06%  python   python3.9                               [.] 0x00000000000f52f0
     0.06%  python   python3.9                               [.] 0x00000000000f530b
     0.06%  python   python3.9                               [.] 0x00000000000f531e
     0.06%  python   python3.9                               [.] 0x00000000000f5412
     0.06%  python   python3.9                               [.] 0x00000000000f63de
     0.06%  python   python3.9                               [.] 0x00000000000f63e2
     0.06%  python   python3.9                               [.] 0x00000000000f6403
     0.06%  python   python3.9                               [.] 0x00000000000f6409
     0.06%  python   python3.9                               [.] 0x00000000000f642c
     0.06%  python   python3.9                               [.] 0x00000000000f6430
     0.06%  python   python3.9                               [.] 0x00000000000f6467
     0.06%  python   python3.9                               [.] 0x00000000000f64c5
     0.06%  python   python3.9                               [.] 0x00000000000f64cc
     0.06%  python   python3.9                               [.] 0x00000000000f654a
     0.06%  python   python3.9                               [.] 0x00000000000f6563
     0.06%  python   python3.9                               [.] 0x00000000000f6599
     0.06%  python   python3.9                               [.] 0x00000000000f65be
     0.06%  python   python3.9                               [.] 0x00000000000f6669
     0.06%  python   python3.9                               [.] 0x00000000000f6680
     0.06%  python   python3.9                               [.] 0x00000000000f66c6
     0.06%  python   python3.9                               [.] 0x00000000000f6c1c
     0.06%  python   python3.9                               [.] 0x00000000000f6c40
     0.06%  python   python3.9                               [.] 0x00000000000f6c43
     0.06%  python   python3.9                               [.] 0x00000000000f6fef
     0.06%  python   python3.9                               [.] 0x00000000000f720c
     0.06%  python   python3.9                               [.] 0x00000000000f7262
     0.06%  python   python3.9                               [.] 0x00000000000f7cc0
     0.06%  python   python3.9                               [.] 0x00000000000f7f91
     0.06%  python   python3.9                               [.] 0x00000000000f807a
     0.06%  python   python3.9                               [.] 0x00000000000f8104
     0.06%  python   python3.9                               [.] 0x00000000000f8770
     0.06%  python   python3.9                               [.] 0x00000000000f8783
     0.06%  python   python3.9                               [.] 0x00000000000f8c32
     0.06%  python   python3.9                               [.] 0x00000000000f8d56
     0.06%  python   python3.9                               [.] 0x00000000000f9066
     0.06%  python   python3.9                               [.] 0x00000000000f906c
     0.06%  python   python3.9                               [.] 0x00000000000f9110
     0.06%  python   python3.9                               [.] 0x00000000000f9116
     0.06%  python   python3.9                               [.] 0x00000000000fc8f8
     0.06%  python   python3.9                               [.] 0x00000000000fd5c6
     0.06%  python   python3.9                               [.] 0x00000000000fdb70
     0.06%  python   python3.9                               [.] 0x00000000000fdb96
     0.06%  python   python3.9                               [.] 0x00000000000fdcb2
     0.06%  python   python3.9                               [.] 0x00000000000fdd17
     0.06%  python   python3.9                               [.] 0x0000000000100310
     0.06%  python   python3.9                               [.] 0x0000000000100b90
     0.06%  python   python3.9                               [.] 0x0000000000100bbb
     0.06%  python   python3.9                               [.] 0x0000000000100ebe
     0.06%  python   python3.9                               [.] 0x0000000000100f40
     0.06%  python   python3.9                               [.] 0x0000000000101214
     0.06%  python   python3.9                               [.] 0x00000000001026d9
     0.06%  python   python3.9                               [.] 0x000000000010398e
     0.06%  python   python3.9                               [.] 0x00000000001043ec
     0.06%  python   python3.9                               [.] 0x0000000000104444
     0.06%  python   python3.9                               [.] 0x0000000000104595
     0.06%  python   python3.9                               [.] 0x00000000001047df
     0.06%  python   python3.9                               [.] 0x0000000000104a40
     0.06%  python   python3.9                               [.] 0x0000000000104aa0
     0.06%  python   python3.9                               [.] 0x0000000000106585
     0.06%  python   python3.9                               [.] 0x0000000000108e83
     0.06%  python   python3.9                               [.] 0x0000000000108e8b
     0.06%  python   python3.9                               [.] 0x00000000001091db
     0.06%  python   python3.9                               [.] 0x000000000010aed1
     0.06%  python   python3.9                               [.] 0x000000000010c732
     0.06%  python   python3.9                               [.] 0x000000000010c74a
     0.06%  python   python3.9                               [.] 0x000000000010c77e
     0.06%  python   python3.9                               [.] 0x000000000010c791
     0.06%  python   python3.9                               [.] 0x000000000010c7f7
     0.06%  python   python3.9                               [.] 0x000000000010dc20
     0.06%  python   python3.9                               [.] 0x000000000011413d
     0.06%  python   python3.9                               [.] 0x0000000000125944
     0.06%  python   python3.9                               [.] 0x0000000000130225
     0.06%  python   python3.9                               [.] 0x0000000000134350
     0.06%  python   python3.9                               [.] 0x0000000000141620
     0.06%  python   python3.9                               [.] 0x00000000001416c8
     0.06%  python   python3.9                               [.] 0x00000000001421d2
     0.06%  python   python3.9                               [.] 0x00000000001422d9
     0.06%  python   python3.9                               [.] 0x000000000014372b
     0.06%  python   python3.9                               [.] 0x00000000001437a0
     0.06%  python   python3.9                               [.] 0x0000000000148bd6
     0.06%  python   python3.9                               [.] 0x000000000014cdd4
     0.06%  python   python3.9                               [.] 0x0000000000150834
     0.06%  python   python3.9                               [.] 0x000000000015b500
     0.06%  python   python3.9                               [.] 0x000000000015c72d
     0.06%  python   python3.9                               [.] 0x000000000015dfe0
     0.06%  python   python3.9                               [.] 0x000000000015e01f
     0.06%  python   python3.9                               [.] 0x000000000015fd00
     0.06%  python   python3.9                               [.] 0x0000000000166a4a
     0.06%  python   python3.9                               [.] 0x0000000000168337
     0.06%  python   python3.9                               [.] 0x00000000001a48cc
     0.06%  runc:[2  libseccomp.so.2.5.3                     [.] 0x0000000000008944
     0.06%  runc:[2  libseccomp.so.2.5.3                     [.] 0x000000000000a700
     0.03%  bash     [kernel.kallsyms]                       [k] __check_object_size.part.0
     0.03%  bash     [kernel.kallsyms]                       [k] __task_pid_nr_ns
     0.03%  bash     [kernel.kallsyms]                       [k] anon_vma_clone
     0.03%  bash     [kernel.kallsyms]                       [k] do_user_addr_fault
     0.03%  bash     [kernel.kallsyms]                       [k] kmem_cache_alloc
     0.03%  bash     [kernel.kallsyms]                       [k] ovl_permission
     0.03%  bash     bash                                    [.] 0x000000000003804d
     0.03%  bash     bash                                    [.] 0x000000000003af50
     0.03%  bash     libc.so.6                               [.] __wcsnlen_ifunc
     0.03%  conda    [kernel.kallsyms]                       [k] __check_heap_object
     0.03%  conda    [kernel.kallsyms]                       [k] __d_lookup_rcu
     0.03%  conda    [kernel.kallsyms]                       [k] __mod_memcg_lruvec_state
     0.03%  conda    [kernel.kallsyms]                       [k] __raw_callee_save___pv_queued_spin_unlock
     0.03%  conda    [kernel.kallsyms]                       [k] __x64_sys_openat
     0.03%  conda    [kernel.kallsyms]                       [k] _raw_spin_unlock_irqrestore
     0.03%  conda    [kernel.kallsyms]                       [k] aa_dfa_match
     0.03%  conda    [kernel.kallsyms]                       [k] blk_cgroup_congested
     0.03%  conda    [kernel.kallsyms]                       [k] common_perm_cond
     0.03%  conda    [kernel.kallsyms]                       [k] handle_softirqs
     0.03%  conda    [kernel.kallsyms]                       [k] hook_file_open
     0.03%  conda    [kernel.kallsyms]                       [k] link_path_walk.part.0.constprop.0
     0.03%  conda    [kernel.kallsyms]                       [k] load_elf_binary
     0.03%  conda    [kernel.kallsyms]                       [k] lock_vma_under_rcu
     0.03%  conda    [kernel.kallsyms]                       [k] ovl_flush
     0.03%  conda    [kernel.kallsyms]                       [k] populate_seccomp_data
     0.03%  conda    [kernel.kallsyms]                       [k] prepend_path
     0.03%  conda    [kernel.kallsyms]                       [k] put_cpu_partial
     0.03%  conda    libc.so.6                               [.] __memmove_avx512_unaligned_erms
     0.03%  conda    libc.so.6                               [.] __mempcpy_avx512_unaligned_erms
     0.03%  conda    libc.so.6                               [.] __mempcpy_chk_avx512_unaligned
     0.03%  conda    libc.so.6                               [.] __memset_avx512_unaligned_erms
     0.03%  conda    libc.so.6                               [.] __strncpy_evex
     0.03%  conda    libc.so.6                               [.] __wmemcmp_avx2_movbe_rtm
     0.03%  conda    libc.so.6                               [.] __wmemset_chk_avx512_unaligned
     0.03%  conda    libc.so.6                               [.] _int_free
     0.03%  conda    libc.so.6                               [.] cfree@GLIBC_2.2.5
     0.03%  conda    python3.11                              [.] 0x00000000000bc92f
     0.03%  conda    python3.11                              [.] 0x00000000000eb466
     0.03%  conda    python3.11                              [.] 0x00000000000eb4c0
     0.03%  conda    python3.11                              [.] 0x00000000000eb615
     0.03%  conda    python3.11                              [.] 0x00000000000ebeaa
     0.03%  conda    python3.11                              [.] 0x00000000000eced9
