# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 279K of event 'task-clock'
# Event count (approx.): 1403351583375
#
# Overhead  Command        Shared Object                                     Symbol                                                                                                                                                                                                                                                                                           
# ........  .............  ................................................  .................................................................................................................................................................................................................................................................................................
#
     0.01%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9d3d
     0.01%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e403
     0.01%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350736
     0.01%  pytest         python3.9                                         [.] 0x00000000000f65d3
     0.01%  test_program   libgomp.so.1.0.0                                  [.] 0x00000000000207be
     0.01%  pytest         [kernel.kallsyms]                                 [k] rseq_get_rseq_cs
     0.01%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350d43
     0.01%  python         [kernel.kallsyms]                                 [k] populate_seccomp_data
     0.01%  python         [kernel.kallsyms]                                 [k] __seccomp_filter
     0.01%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9d43
     0.01%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9d4d
     0.01%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e3f5
     0.01%  pytest         python3.9                                         [.] 0x00000000000e7bd2
     0.00%  pytest         libc.so.6                                         [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ee1f
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7b76
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7ce1
     0.00%  pytest         [kernel.kallsyms]                                 [k] blkcg_maybe_throttle_current
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9d57
     0.00%  pytest         python3.9                                         [.] 0x00000000000f66e2
     0.00%  python         [kernel.kallsyms]                                 [k] do_user_addr_fault
     0.00%  pytest         [kernel.kallsyms]                                 [k] _raw_spin_unlock_irqrestore
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7d15
     0.00%  test_program   libgomp.so.1.0.0                                  [.] 0x00000000000207c6
     0.00%  pytest         [kernel.kallsyms]                                 [k] handle_softirqs
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e3fb
     0.00%  pytest         libc.so.6                                         [.] malloc
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ec2e
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5e13
     0.00%  python         python3.9                                         [.] 0x00000000000dded4
     0.00%  pytest         [kernel.kallsyms]                                 [k] do_user_addr_fault
     0.00%  pytest         [kernel.kallsyms]                                 [k] mem_cgroup_handle_over_high
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e3e1
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350742
     0.00%  python         [kernel.kallsyms]                                 [k] handle_softirqs
     0.00%  python         [kernel.kallsyms]                                 [k] syscall_trace_enter
     0.00%  pytest         [kernel.kallsyms]                                 [k] __rseq_handle_notify_resume
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e408
     0.00%  pytest         libc.so.6                                         [.] __memchr_evex
     0.00%  pytest         libc.so.6                                         [.] 0x0000000000108c99
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350ca5
     0.00%  pytest         libc.so.6                                         [.] _int_malloc
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350755
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350d30
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ee25
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7b4f
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7b54
     0.00%  python         python3.9                                         [.] 0x00000000000d5e13
     0.00%  python         python3.9                                         [.] 0x00000000000e7b76
     0.00%  conda          python3.11                                        [.] 0x00000000000f8af4
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e3f1
     0.00%  pytest         libc.so.6                                         [.] __memmove_avx512_unaligned_erms
     0.00%  pytest         libc.so.6                                         [.] cfree@GLIBC_2.2.5
     0.00%  pytest         libc.so.6                                         [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000171b30
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350c9d
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012fa7eb
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f454
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014918c4
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014a1069
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014b4447
     0.00%  pytest         python3.9                                         [.] 0x00000000000de9e4
     0.00%  pytest         python3.9                                         [.] 0x00000000000f3538
     0.00%  pytest         python3.9                                         [.] 0x00000000000f545a
     0.00%  python         [kernel.kallsyms]                                 [k] _raw_spin_unlock_irqrestore
     0.00%  python         [kernel.kallsyms]                                 [k] ovl_i_path_real
     0.00%  python         [kernel.kallsyms]                                 [k] x64_sys_call
     0.00%  python         libc.so.6                                         [.] __memchr_evex
     0.00%  python         libc.so.6                                         [.] _int_malloc
     0.00%  python         python3.9                                         [.] 0x00000000000e7bd2
     0.00%  python         python3.9                                         [.] 0x00000000000e7ce1
     0.00%  test_program   [kernel.kallsyms]                                 [k] _raw_spin_unlock_irq
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000039bac
     0.00%  pytest         libc.so.6                                         [.] __wmemset_avx512_unaligned
     0.00%  pytest         libc.so.6                                         [.] _int_free
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350d3d
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x0000000000194805
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ee2d
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f458
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014918fb
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014d2916
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x0000000001dd5714
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5213
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5dfe
     0.00%  pytest         python3.9                                         [.] 0x00000000000dcce5
     0.00%  pytest         python3.9                                         [.] 0x00000000000ddbdb
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7b5b
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7bcc
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7dbb
     0.00%  pytest         python3.9                                         [.] 0x00000000000e8151
     0.00%  pytest         python3.9                                         [.] 0x00000000000f665a
     0.00%  pytest         python3.9                                         [.] 0x00000000000f67e4
     0.00%  pytest         python3.9                                         [.] 0x00000000001092c5
     0.00%  pytest         python3.9                                         [.] 0x0000000000172188
     0.00%  pytest         python3.9                                         [.] 0x00000000001d6eb9
     0.00%  python         [kernel.kallsyms]                                 [k] aa_dfa_match
     0.00%  python         [kernel.kallsyms]                                 [k] inode_permission
     0.00%  python         ld-linux-x86-64.so.2                              [.] do_lookup_x
     0.00%  python         libc.so.6                                         [.] _int_free
     0.00%  python         libc.so.6                                         [.] malloc
     0.00%  python         libc.so.6                                         [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.00%  python         python3.9                                         [.] 0x00000000000d5084
     0.00%  python         python3.9                                         [.] 0x00000000000de9e4
     0.00%  python         python3.9                                         [.] 0x00000000000e7dbb
     0.00%  python         python3.9                                         [.] 0x0000000000161853
     0.00%  test_program   libgomp.so.1.0.0                                  [.] 0x0000000000020606
     0.00%  :-1            [kernel.kallsyms]                                 [k] _raw_write_unlock_irq
     0.00%  cc1            [kernel.kallsyms]                                 [k] do_user_addr_fault
     0.00%  conda          python3.11                                        [.] 0x00000000000ee9f6
     0.00%  conda          python3.11                                        [.] 0x00000000000f9a74
     0.00%  conda          python3.11                                        [.] 0x000000000010eebe
     0.00%  pytest         [kernel.kallsyms]                                 [k] __rcu_read_lock
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000000da101
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000023ea40
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x0000000000244345
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e3c5
     0.00%  pytest         libc.so.6                                         [.] __memset_avx512_unaligned
     0.00%  pytest         libc.so.6                                         [.] __strncat_evex
     0.00%  pytest         libm.so.6                                         [.] fetestexcept
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000171673
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000171693
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350c94
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012fa264
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012fa804
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012faa0c
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ec47
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f44a
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f44b
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f44c
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f45b
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000149510b
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014a10b0
     0.00%  pytest         python3.9                                         [.] 0x00000000000d2e69
     0.00%  pytest         python3.9                                         [.] 0x00000000000d4f21
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5084
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5e0c
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5e68
     0.00%  pytest         python3.9                                         [.] 0x00000000000d94c0
     0.00%  pytest         python3.9                                         [.] 0x00000000000d9e0c
     0.00%  pytest         python3.9                                         [.] 0x00000000000d9e7f
     0.00%  pytest         python3.9                                         [.] 0x00000000000e6cad
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7b27
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7c7f
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7c87
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7cca
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7ef9
     0.00%  pytest         python3.9                                         [.] 0x00000000000f51a6
     0.00%  pytest         python3.9                                         [.] 0x00000000000f5465
     0.00%  pytest         python3.9                                         [.] 0x00000000000f546b
     0.00%  pytest         python3.9                                         [.] 0x00000000000f7e20
     0.00%  pytest         python3.9                                         [.] 0x00000000000fdc3c
     0.00%  pytest         python3.9                                         [.] 0x0000000000103c29
     0.00%  pytest         python3.9                                         [.] 0x0000000000144ef3
     0.00%  pytest         python3.9                                         [.] 0x00000000001d6ea0
     0.00%  pytest         python3.9                                         [.] 0x00000000001d6ea5
     0.00%  python         [kernel.kallsyms]                                 [k] __d_lookup_rcu
     0.00%  python         [kernel.kallsyms]                                 [k] __memset
     0.00%  python         [kernel.kallsyms]                                 [k] half_md4_transform
     0.00%  python         [kernel.kallsyms]                                 [k] schedule
     0.00%  python         [kernel.kallsyms]                                 [k] schedule_debug.constprop.0
     0.00%  python         libc.so.6                                         [.] __GI___readdir64
     0.00%  python         libc.so.6                                         [.] __mempcpy_avx512_unaligned_erms
     0.00%  python         libc.so.6                                         [.] __sched_getparam
     0.00%  python         libc.so.6                                         [.] __strcpy_evex
     0.00%  python         libc.so.6                                         [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.00%  python         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506b2
     0.00%  python         python3.9                                         [.] 0x00000000000e7bab
     0.00%  python         python3.9                                         [.] 0x00000000000e7c26
     0.00%  python         python3.9                                         [.] 0x00000000000ec576
     0.00%  python         python3.9                                         [.] 0x00000000000ec61e
     0.00%  python         python3.9                                         [.] 0x00000000000f3538
     0.00%  python         python3.9                                         [.] 0x00000000000f38a8
     0.00%  python         python3.9                                         [.] 0x00000000000f67e4
     0.00%  python         python3.9                                         [.] 0x000000000016185d
     0.00%  python         python3.9                                         [.] 0x00000000001618f4
     0.00%  runc:[2:INIT]  libseccomp.so.2.5.3                               [.] 0x000000000000a700
     0.00%  test_program   libgomp.so.1.0.0                                  [.] 0x00000000000207b8
     0.00%  test_program   libgomp.so.1.0.0                                  [.] 0x00000000000207c3
     0.00%  cc1            [kernel.kallsyms]                                 [k] filemap_map_pages
     0.00%  conda          [kernel.kallsyms]                                 [k] aa_dfa_match
     0.00%  conda          [kernel.kallsyms]                                 [k] vfs_getattr_nosec
     0.00%  conda          python3.11                                        [.] 0x00000000000eb274
     0.00%  conda          python3.11                                        [.] 0x00000000000ee9ea
     0.00%  conda          python3.11                                        [.] 0x00000000000eea0a
     0.00%  conda          python3.11                                        [.] 0x00000000000eea5b
     0.00%  conda          python3.11                                        [.] 0x00000000000eeb72
     0.00%  conda          python3.11                                        [.] 0x00000000000f7774
     0.00%  conda          python3.11                                        [.] 0x00000000000f8b9b
     0.00%  conda          python3.11                                        [.] 0x00000000000f8d0f
     0.00%  conda          python3.11                                        [.] 0x000000000010ee97
     0.00%  ld             [kernel.kallsyms]                                 [k] _raw_spin_unlock_irqrestore
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x0000000000039ba8
     0.00%  ld             x86_64-conda-linux-gnu-ld                         [.] 0x00000000000781ed
     0.00%  pytest         [kernel.kallsyms]                                 [k] __pte_offset_map_lock
     0.00%  pytest         [kernel.kallsyms]                                 [k] __rcu_read_unlock
     0.00%  pytest         [kernel.kallsyms]                                 [k] __send_ipi_mask
     0.00%  pytest         [kernel.kallsyms]                                 [k] aa_dfa_match
     0.00%  pytest         [kernel.kallsyms]                                 [k] futex_q_lock
     0.00%  pytest         [kernel.kallsyms]                                 [k] mem_cgroup_commit_charge
     0.00%  pytest         [kernel.kallsyms]                                 [k] prepend_path
     0.00%  pytest         [kernel.kallsyms]                                 [k] update_blocked_averages
     0.00%  pytest         [kernel.kallsyms]                                 [k] update_sg_lb_stats
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013ba70
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013ba99
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000013c990
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x00000000001a3d90
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000024d006
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000025008d
     0.00%  pytest         _multiarray_umath.cpython-39-x86_64-linux-gnu.so  [.] 0x000000000042e3b9
     0.00%  pytest         ld-linux-x86-64.so.2                              [.] do_lookup_x
     0.00%  pytest         libc.so.6                                         [.] __memmove_avx512_unaligned
     0.00%  pytest         libc.so.6                                         [.] __memmove_chk_avx512_unaligned_erms
     0.00%  pytest         libc.so.6                                         [.] __strcat_evex
     0.00%  pytest         libc.so.6                                         [.] __strchrnul_evex
     0.00%  pytest         libc.so.6                                         [.] pthread_cond_signal@@GLIBC_2.3.2
     0.00%  pytest         libc.so.6                                         [.] 0x000000000012654a
     0.00%  pytest         libc.so.6                                         [.] 0x00000000001a704d
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506a2
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350746
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012fa7cd
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012fa7d3
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012fa7f2
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012fb423
     0.00%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012fb451
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000019475f
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000019780d
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x0000000000197814
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f44e
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000149170b
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014918e6
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x0000000001491961
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x0000000001492600
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x0000000001493c30
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000149515d
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014a1065
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014a1087
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000014d292a
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000019732b4
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x00000000019880d8
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x0000000001dd5710
     0.00%  pytest         libopenblasp-r0.3.28.so                           [.] 0x0000000001dd9068
     0.00%  pytest         python3.9                                         [.] 0x00000000000d2e75
     0.00%  pytest         python3.9                                         [.] 0x00000000000d48d4
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5d90
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5e1c
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5e38
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5e3d
     0.00%  pytest         python3.9                                         [.] 0x00000000000d5e75
     0.00%  pytest         python3.9                                         [.] 0x00000000000d6b37
     0.00%  pytest         python3.9                                         [.] 0x00000000000d8a39
     0.00%  pytest         python3.9                                         [.] 0x00000000000d8ab3
     0.00%  pytest         python3.9                                         [.] 0x00000000000d8ec7
     0.00%  pytest         python3.9                                         [.] 0x00000000000d94cb
     0.00%  pytest         python3.9                                         [.] 0x00000000000dadd2
     0.00%  pytest         python3.9                                         [.] 0x00000000000db3c0
     0.00%  pytest         python3.9                                         [.] 0x00000000000dc305
     0.00%  pytest         python3.9                                         [.] 0x00000000000dc32e
     0.00%  pytest         python3.9                                         [.] 0x00000000000dc687
     0.00%  pytest         python3.9                                         [.] 0x00000000000dd85d
     0.00%  pytest         python3.9                                         [.] 0x00000000000dded4
     0.00%  pytest         python3.9                                         [.] 0x00000000000dded8
     0.00%  pytest         python3.9                                         [.] 0x00000000000ddeea
     0.00%  pytest         python3.9                                         [.] 0x00000000000de3bf
     0.00%  pytest         python3.9                                         [.] 0x00000000000de429
     0.00%  pytest         python3.9                                         [.] 0x00000000000de9e0
     0.00%  pytest         python3.9                                         [.] 0x00000000000de9eb
     0.00%  pytest         python3.9                                         [.] 0x00000000000e40c0
     0.00%  pytest         python3.9                                         [.] 0x00000000000e4153
     0.00%  pytest         python3.9                                         [.] 0x00000000000e6cba
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7ab9
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7b64
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7c31
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7d5f
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7d7c
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7dad
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7f5c
     0.00%  pytest         python3.9                                         [.] 0x00000000000e7f6e
     0.00%  pytest         python3.9                                         [.] 0x00000000000e8075
     0.00%  pytest         python3.9                                         [.] 0x00000000000e82e9
     0.00%  pytest         python3.9                                         [.] 0x00000000000e82f4
     0.00%  pytest         python3.9                                         [.] 0x00000000000e8344
     0.00%  pytest         python3.9                                         [.] 0x00000000000e8c13
     0.00%  pytest         python3.9                                         [.] 0x00000000000e8cea
     0.00%  pytest         python3.9                                         [.] 0x00000000000e8cf8
     0.00%  pytest         python3.9                                         [.] 0x00000000000e8ec0
     0.00%  pytest         python3.9                                         [.] 0x00000000000e90de
     0.00%  pytest         python3.9                                         [.] 0x00000000000e92b9
     0.00%  pytest         python3.9                                         [.] 0x00000000000ec61e
     0.00%  pytest         python3.9                                         [.] 0x00000000000ec6e7
     0.00%  pytest         python3.9                                         [.] 0x00000000000ec98e
     0.00%  pytest         python3.9                                         [.] 0x00000000000eee46
     0.00%  pytest         python3.9                                         [.] 0x00000000000ef99b
     0.00%  pytest         python3.9                                         [.] 0x00000000000f02f6
     0.00%  pytest         python3.9                                         [.] 0x00000000000f0308
     0.00%  pytest         python3.9                                         [.] 0x00000000000f035b
     0.00%  pytest         python3.9                                         [.] 0x00000000000f06bb
     0.00%  pytest         python3.9                                         [.] 0x00000000000f526b
     0.00%  pytest         python3.9                                         [.] 0x00000000000f5450
     0.00%  pytest         python3.9                                         [.] 0x00000000000f65f8
     0.00%  pytest         python3.9                                         [.] 0x00000000000f67e7
     0.00%  pytest         python3.9                                         [.] 0x00000000000f7f53
     0.00%  pytest         python3.9                                         [.] 0x00000000000f80f1
     0.00%  pytest         python3.9                                         [.] 0x00000000000f91d0
     0.00%  pytest         python3.9                                         [.] 0x00000000000fc2a4
     0.00%  pytest         python3.9                                         [.] 0x000000000010352a
     0.00%  pytest         python3.9                                         [.] 0x000000000010483c
     0.00%  pytest         python3.9                                         [.] 0x0000000000107966
     0.00%  pytest         python3.9                                         [.] 0x000000000010cc01
     0.00%  pytest         python3.9                                         [.] 0x0000000000114570
     0.00%  pytest         python3.9                                         [.] 0x00000000001148d7
     0.00%  pytest         python3.9                                         [.] 0x000000000012147d
     0.00%  pytest         python3.9                                         [.] 0x000000000012660d
     0.00%  pytest         python3.9                                         [.] 0x0000000000128d4a
     0.00%  pytest         python3.9                                         [.] 0x0000000000132877
     0.00%  pytest         python3.9                                         [.] 0x0000000000172387
     0.00%  pytest         python3.9                                         [.] 0x00000000001d6ead
     0.00%  pytest         python3.9                                         [.] 0x00000000001d6ecd
     0.00%  python         [kernel.kallsyms]                                 [k] __handle_mm_fault
     0.00%  python         [kernel.kallsyms]                                 [k] __pte_offset_map_lock
